Date,Price
15-Apr-19,53.69
13-May-19,43.95
17-Jun-19,49.77
15-Jul-19,45.81
13-Aug-19,36.31
16-Sep-19,36.86
14-Oct-19,35.96
18-Nov-19,40
16-Dec-19,46.1
13-Jan-20,49.53
17-Feb-20,44.36
16-Mar-20,29.78
13-Apr-20,29.34
18-May-20,27.45
15-Jun-20,32.06
13-Jul-20,35.1
17-Aug-20,42.89
14-Sep-20,39.55
19-Oct-20,42.35
17-Nov-20,53.29
14-Dec-20,63.13
18-Jan-21,64.7
15-Feb-21,67.07
15-Mar-21,73.3
19-Apr-21,92.56
17-May-21,111.31
14-Jun-21,109.23
19-Jul-21,128.14
16-Aug-21,137.56
13-Sep-21,138.59
18-Oct-21,129.63
15-Nov-21,118.66
13-Dec-21,113.21
17-Jan-22,116.97
14-Feb-22,119.08
14-Mar-22,130.35
18-Apr-22,127.76
16-May-22,117.06
16-Jun-22,90.67
14-Jul-22,88.38
16-Aug-22,112.55
15-Sep-22,105.7
17-Oct-22,100.05
14-Nov-22,106.55
15-Dec-22,111.05
16-Jan-23,122.45
16-Feb-23,112.25
16-Mar-23,107
17-Apr-23,108.1
15-May-23,106
15-Jun-23,114.25
17-Jul-23,116.7
17-Aug-23,115.8
14-Sep-23,131.95
16-Oct-23,127.1
15-Nov-23,125.2
14-Dec-23,136.45
15-Jan-24,131.65
15-Feb-24,142.3
14-Mar-24,141.7
15-Apr-24,160.05
